id,icij_sar_id,filer_org_name_id,filer_org_name,begin_date,begin_date_year,end_date,end_date_year,originator_bank_id,originator_bank,originator_bank_display,originator_bank_continent,originator_bank_country,originator_iso,beneficiary_bank_id,beneficiary_bank,beneficiary_bank_continent,beneficiary_bank_country,beneficiary_iso,number_transactions,amount_transactions
227181,2395,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Apr 2, 2013",2013,"Apr 18, 2013",2013,jsc-norvik-banka,JSC Norvik Banka,JSC Norvik Banka,Europe,Latvia,LVA,commonwealth-bank-of-australia-ho-chi-minh-city-vietnam-vnm,Commonwealth Bank of Australia,Asia,Vietnam,VNM,3,1478600.78
227289,3207,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jun 21, 2013",2013,"Jun 25, 2013",2013,rietumu-banka-jsc,Rietumu Banka JSC,Rietumu Banka JSC,Europe,Latvia,LVA,denizbank-as-bahrain-branch-obu-manama-bahrain-bhr,Denizbank AS Bahrain Branch,North America,Bahrain,BHR,6,2720000
227437,2462,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Apr 21, 2015",2015,"Apr 21, 2015",2015,jsc-norvik-banka,JSC Norvik Banka,JSC Norvik Banka,Europe,Latvia,LVA,vtb-bank-moscow-russia-rus,VTB Bank,Europe,Russia,RUS,1,13000680
227488,2459,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Feb 12, 2015",2015,"Mar 5, 2015",2015,norvik-banka-jsc,Norvik Banka JSC,Norvik Banka JSC,Europe,Latvia,LVA,skandinaviska-enskilda-banken-helsinki-finland-fin,Skandinaviska Enskilda Banken,Europe,Finland,FIN,4,164300
227493,2459,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Feb 27, 2015",2015,"Feb 27, 2015",2015,norvik-banka-jsc,Norvik Banka JSC,Norvik Banka JSC,Europe,Latvia,LVA,unicredit-bank-austria-ag-vienna-austria-aut,UniCredit Bank Austria AG,Europe,Austria,AUT,1,4784466
227494,2459,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Mar 10, 2015",2015,"Mar 10, 2015",2015,norvik-banka-jsc,Norvik Banka JSC,Norvik Banka JSC,Europe,Latvia,LVA,petrocommerce-ojsc-bank-moscow-russia-rus,Petrocommerce OJSC Bank,Europe,Russia,RUS,1,5300000
227496,2459,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jan 29, 2015",2015,"Feb 5, 2015",2015,norvik-banka-jsc,Norvik Banka JSC,Norvik Banka JSC,Europe,Latvia,LVA,national-settlement-depository-moscow-russia-rus,National Settlement Depository,Europe,Russia,RUS,2,21000000
227497,2459,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jan 28, 2015",2015,"Mar 31, 2015",2015,norvik-banka-jsc,Norvik Banka JSC,Norvik Banka JSC,Europe,Latvia,LVA,national-settlement-depository-moscow-russia-rus,National Settlement Depository,Europe,Russia,RUS,7,66316000
227598,2487,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Feb 16, 2016",2016,"Mar 7, 2016",2016,as-meridian-trade-bank,AS Meridian Trade Bank,AS Meridian Trade Bank,Europe,Latvia,LVA,turkiye-cummuriyeti-ziraat-bankasi-ankara-turkey-tur,Turkiye Cummuriyeti Ziraat Bankasi,Asia,Turkey,TUR,3,1000000
227602,2487,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Feb 5, 2016",2016,"Jul 19, 2016",2016,as-meridian-trade-bank,AS Meridian Trade Bank,AS Meridian Trade Bank,Europe,Latvia,LVA,international-invest-bank-kiev-ukraine-ukr,International Invest Bank,Europe,Ukraine,UKR,16,1792200
