id,icij_sar_id,filer_org_name_id,filer_org_name,begin_date,begin_date_year,end_date,end_date_year,originator_bank_id,originator_bank,originator_bank_display,originator_bank_continent,originator_bank_country,originator_iso,beneficiary_bank_id,beneficiary_bank,beneficiary_bank_continent,beneficiary_bank_country,beneficiary_iso,number_transactions,amount_transactions
225083,2476,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Dec 1, 2015",2015,"Dec 29, 2015",2015,trasta-komercbanka,Trasta Komercbanka,Trasta Komercbanka,Europe,Latvia,LVA,bta-bank-jsc-almaty-kazakhstan-kaz,BTA Bank JSC,Asia,Kazakhstan,KAZ,4,986892
225255,3213,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Aug 27, 2013",2013,"Aug 27, 2013",2013,pictet-and-cie,Pictet And Cie,Pictet And Cie,Europe,Switzerland,CHE,caledonian-bank-limited-georgetown-cayman-islands-cym,Caledonian Bank Limited,North America,Cayman Islands,CYM,1,300015
226114,3458,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jun 28, 2013",2013,"Jun 28, 2013",2013,regional-investment-bank,Regional Investment Bank,Regional Investment Bank,Europe,Latvia,LVA,woori-bank-seoul-south-korea-kor,Woori Bank,Asia,South Korea,KOR,1,1720942.4
226115,3458,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jun 25, 2013",2013,"Jun 25, 2013",2013,regional-investment-bank,Regional Investment Bank,Regional Investment Bank,Europe,Latvia,LVA,nordea-bank-danmark-as-copenhagen-denmark-dnk,Nordea Bank Danmark A/S,Europe,Denmark,DNK,1,1000000
226117,3458,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jun 13, 2013",2013,"Jul 9, 2013",2013,regional-investment-bank,Regional Investment Bank,Regional Investment Bank,Europe,Latvia,LVA,bnp-paribas-suisse-sa-geneva-switzerland-che,Bnp Paribas Suisse SA,Europe,Switzerland,CHE,6,5149975.15
226119,3458,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jun 10, 2013",2013,"Jun 10, 2013",2013,regional-investment-bank,Regional Investment Bank,Regional Investment Bank,Europe,Latvia,LVA,schroder-and-company-bank-ag-switzerland-che,Schroder And Company Bank Ag,Europe,Switzerland,CHE,1,1760000
226120,3458,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jun 28, 2013",2013,"Jul 15, 2013",2013,regional-investment-bank,Regional Investment Bank,Regional Investment Bank,Europe,Latvia,LVA,bank-vozrozhdenie-russia-rus,Bank Vozrozhdenie,Europe,Russia,RUS,4,1141505.36
226121,3458,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jun 7, 2013",2013,"Jul 26, 2013",2013,regional-investment-bank,Regional Investment Bank,Regional Investment Bank,Europe,Latvia,LVA,bank-vozrozhdenie-moscow-russia-rus,Bank Vozrozhdenie,Europe,Russia,RUS,5,1020000
226123,3458,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jun 4, 2013",2013,"Jul 2, 2013",2013,regional-investment-bank,Regional Investment Bank,Regional Investment Bank,Europe,Latvia,LVA,bnp-paribas-suisse-sa-geneva-switzerland-che,Bnp Paribas Suisse SA,Europe,Switzerland,CHE,5,5997500
226170,4206,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jan 16, 2013",2013,"Jan 30, 2013",2013,primorye-bank,Primorye Bank,Primorye Bank,Europe,Russia,RUS,barclays-bank-seychelles-ltd-victoria-mahe-seychelles-syc,Barclays Bank Seychelles Ltd,Asia,Seychelles,SYC,12,1911816.62
226236,4323,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Nov 4, 2013",2013,"Feb 3, 2014",2014,credit-suisse-ag,Credit Suisse AG,Credit Suisse AG,Europe,Switzerland,CHE,banco-gnb-peru-sa-lima-peru-per,Banco Gnb Peru S.A.,South America,Peru,PER,4,46247.91
226237,4323,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Sep 2, 2013",2013,"Sep 5, 2013",2013,credit-suisse-ag,Credit Suisse AG,Credit Suisse AG,Europe,Switzerland,CHE,citibank-na-hong-kong-hkg,"Citibank, N.A.",Asia,Hong Kong,HKG,2,81601.19
226238,4323,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Oct 1, 2013",2013,"Nov 17, 2013",2013,credit-suisse-ag,Credit Suisse AG,Credit Suisse AG,Europe,Switzerland,CHE,bank-of-america-na-charlotte-nc-usa,Bank of America N.A.,North America,United States,USA,4,96521.57
226240,4323,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Nov 17, 2013",2013,"Feb 17, 2014",2014,credit-suisse-ag,Credit Suisse AG,Credit Suisse AG,Europe,Switzerland,CHE,banco-gnb-peru-sa-lima-peru-per,Banco Gnb Peru S.A.,South America,Peru,PER,5,133934.03
226241,4323,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Sep 2, 2013",2013,"Feb 17, 2014",2014,credit-suisse-ag,Credit Suisse AG,Credit Suisse AG,Europe,Switzerland,CHE,afrasia-bank-limited-port-luis-mauritius-mus,Afrasia Bank Limited,Africa,Mauritius,MUS,12,982085.64
226282,2464,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jul 1, 2015",2015,"Jul 31, 2015",2015,alfa-bank,Alfabank,Alfabank,Europe,Russia,RUS,versobank-as-tallinn-estonia-est,Versobank AS,Europe,Estonia,EST,83,1468740.8
226284,2464,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jul 22, 2015",2015,"Jul 28, 2015",2015,unicredit-bank-cjsc,"UniCredit Bank, Cjsc","UniCredit Bank, Cjsc",Europe,Russia,RUS,versobank-as-talllinn-estonia-est,Versobank AS,Europe,Estonia,EST,2,1500000
226285,2464,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jul 1, 2015",2015,"Jul 31, 2015",2015,alfabank,Alfabank,Alfabank,Europe,Russia,RUS,versobank-as-tallinn-estonia-est,Versobank AS,Europe,Estonia,EST,26,2058500
226289,2464,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jul 1, 2015",2015,"Jul 2, 2015",2015,alfabank,Alfabank,Alfabank,Europe,Russia,RUS,versobank-as-tallinn-estonia-est,Versobank AS,Europe,Estonia,EST,2,6200888
226312,2875,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Oct 2, 2014",2014,"Oct 29, 2014",2014,as-expobank,AS Expobank,AS Expobank,Europe,Latvia,LVA,ing-bank-eurasia-zao-moscow-russia-rus,ING Bank Eurasia Zao,Europe,Russia,RUS,3,1022.38
226313,2875,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Oct 9, 2014",2014,"Oct 31, 2014",2014,as-expobank,AS Expobank,AS Expobank,Europe,Latvia,LVA,credit-suisse-ag-zurich-switzerland-che,Credit Suisse AG,Europe,Switzerland,CHE,5,410000
226314,2875,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Oct 30, 2014",2014,"Oct 31, 2014",2014,as-expobank,AS Expobank,AS Expobank,Europe,Latvia,LVA,credit-suisse-ag-zurich-switzerland-che,Credit Suisse AG,Europe,Switzerland,CHE,2,439808
226315,2875,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Oct 24, 2014",2014,"Oct 24, 2014",2014,as-expobank,AS Expobank,AS Expobank,Europe,Latvia,LVA,credit-suisse-ag-zurich-switzerland-che,Credit Suisse AG,Europe,Switzerland,CHE,1,500000
